point_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,lithology_factor,fault_dist_km,river_dist_km,ndvi,soil_thickness_m,rain_24h_mm,rain_72h_ari_mm,soil_moisture_pct,factor_of_safety,landslide_occurred,hazard_severity
PT-0184,Arunachal Pradesh,27.04653,92.28123,2517,46.19,52,0.9,4.3,0.34,0.4,1.01,5.6,28.2,49.8,2.02,0,LOW
PT-0185,Meghalaya,24.72475,92.91241,2199,49.19,335,0.81,4.17,0.97,0.38,1.6,23.3,121.1,75.7,1.3,0,LOW
PT-0186,Meghalaya,24.77782,92.37893,2160,43.28,238,0.9,6.91,0.75,0.32,2.0,17.2,161.6,82.9,1.14,1,SEVERE
PT-0187,Assam (Dima Hasao),25.12671,93.12003,2050,22.1,100,0.91,5.98,1.77,0.51,3.05,39.0,158.9,81.9,1.56,0,LOW
PT-0188,Sikkim,27.87119,88.00175,1701,33.98,157,0.8,3.89,0.6,0.47,1.13,37.0,67.3,64.0,2.12,0,LOW
PT-0189,Manipur,25.50102,93.86699,2106,41.12,48,0.89,5.53,0.93,0.42,1.14,10.9,74.0,64.8,1.86,0,LOW
PT-0190,Manipur,25.50087,94.30242,2383,35.52,38,0.98,3.37,1.72,0.39,1.23,18.8,53.7,55.4,1.99,0,LOW
PT-0191,Assam (Dima Hasao),25.1123,92.96602,1903,36.96,351,0.82,7.05,1.37,0.4,2.88,62.1,236.9,96.1,0.92,1,SEVERE
PT-0192,Sikkim,27.54262,88.3122,2264,43.88,207,0.95,4.03,1.26,0.32,1.22,10.5,35.7,55.7,1.76,0,LOW
PT-0193,Assam (Dima Hasao),24.72686,93.39841,2380,27.65,330,0.78,6.21,2.03,0.45,3.19,51.9,200.4,85.0,1.21,0,MODERATE
PT-0194,Arunachal Pradesh,27.12703,92.38074,2588,58.0,221,0.88,2.76,0.16,0.3,1.38,10.4,71.6,64.6,1.52,0,LOW
PT-0195,Sikkim,27.46693,88.74037,1941,36.7,281,0.88,2.23,0.9,0.43,2.41,16.2,195.2,88.4,1.09,1,SEVERE
PT-0196,Sikkim,27.91728,88.9383,2609,36.05,248,0.85,4.08,0.78,0.41,1.06,1.5,150.3,75.9,2.05,0,LOW
PT-0197,Tripura,23.95532,92.17021,1707,46.26,51,0.58,6.69,1.22,0.41,2.62,47.7,157.7,84.5,0.91,1,HIGH
PT-0198,Manipur,25.08577,94.42707,1949,40.63,303,0.85,6.35,0.85,0.43,2.55,41.9,80.3,67.1,1.09,0,MODERATE
PT-0199,Tripura,23.97055,91.46067,1738,28.48,308,0.57,7.87,0.1,0.58,1.44,63.1,229.7,98.0,1.78,0,LOW
PT-0200,Arunachal Pradesh,27.05147,91.42725,2154,42.84,56,0.89,6.43,2.12,0.37,3.07,5.3,70.1,56.8,1.0,0,MODERATE
PT-0201,Meghalaya,25.38882,92.28424,1749,30.44,162,0.76,11.86,1.56,0.56,2.73,44.5,88.4,62.5,1.38,0,LOW
PT-0202,Mizoram,23.27282,92.9846,1930,57.34,200,0.94,6.48,1.29,0.22,1.7,32.5,153.0,74.7,1.25,0,LOW
PT-0203,Tripura,23.48877,92.14441,2701,27.61,85,0.66,14.25,1.83,0.55,2.6,0.6,50.2,58.0,1.59,0,LOW
PT-0204,Arunachal Pradesh,27.28799,91.37964,2342,51.41,214,0.91,6.9,1.14,0.3,2.2,32.6,190.2,88.4,0.97,1,SEVERE
PT-0205,Assam (Dima Hasao),24.76519,92.49845,1783,38.55,163,0.81,4.28,0.82,0.49,1.35,142.2,318.6,98.0,1.52,1,SEVERE
PT-0206,Tripura,24.16541,91.76759,1316,20.16,222,0.56,6.27,0.53,0.53,2.53,37.8,96.6,64.1,2.1,0,LOW
PT-0207,Assam (Dima Hasao),24.6851,92.88148,1900,26.71,27,0.83,5.39,0.72,0.55,2.32,1.3,44.5,52.7,1.78,0,LOW
PT-0208,Nagaland,25.64828,93.52861,1779,40.84,338,0.85,5.07,0.91,0.39,1.84,2.3,89.9,62.4,1.35,0,LOW
PT-0209,Mizoram,23.7971,92.29136,2050,38.88,342,0.84,4.75,2.14,0.44,2.22,41.8,125.9,73.1,1.19,0,MODERATE
PT-0210,Tripura,24.00726,91.53277,2044,23.73,17,0.63,11.77,1.78,0.58,2.36,70.8,114.3,75.0,1.74,0,LOW
PT-0211,Assam (Dima Hasao),25.54015,92.56142,2508,15.18,222,0.8,8.32,0.41,0.64,1.7,41.3,70.7,61.1,3.0,0,LOW
PT-0212,Arunachal Pradesh,28.00795,91.87363,2312,45.03,358,0.84,3.35,0.98,0.36,1.33,71.0,241.0,98.0,1.44,1,SEVERE
PT-0213,Nagaland,26.02289,94.43097,1674,50.22,135,0.88,4.16,1.38,0.26,1.61,46.9,176.4,79.2,1.28,0,LOW
PT-0214,Arunachal Pradesh,27.80862,91.30915,2382,38.14,190,0.72,5.75,0.74,0.4,2.08,9.4,167.8,78.3,1.22,0,MODERATE
PT-0215,Tripura,24.24884,91.63504,1237,24.64,45,0.57,6.59,1.83,0.58,2.67,41.9,141.9,72.8,1.6,0,LOW
PT-0216,Mizoram,23.97148,92.59406,1781,41.74,291,0.78,3.34,1.85,0.46,1.55,125.1,256.4,98.0,1.31,1,SEVERE
PT-0217,Tripura,23.92615,92.01249,1771,27.33,190,0.63,7.48,2.12,0.52,2.21,90.9,148.6,81.0,1.53,0,LOW
PT-0218,Nagaland,25.42208,93.85388,2554,44.09,109,0.97,5.11,1.52,0.35,1.9,75.8,217.4,87.9,1.14,1,SEVERE
PT-0219,Meghalaya,25.28685,92.48137,2074,41.71,156,0.87,6.29,0.68,0.47,2.87,12.3,77.2,62.2,1.03,0,MODERATE
PT-0220,Manipur,25.36138,93.42882,2126,57.55,191,0.9,5.25,0.69,0.3,2.06,16.2,84.8,61.4,1.11,0,MODERATE
PT-0221,Mizoram,23.34603,92.73075,2319,40.16,307,0.85,3.76,0.39,0.34,2.09,118.7,200.5,91.5,1.1,1,SEVERE
PT-0222,Assam (Dima Hasao),24.9818,93.26604,1565,30.83,243,0.94,6.79,1.17,0.55,2.85,13.2,44.3,51.0,1.43,0,LOW
PT-0223,Mizoram,23.99022,92.78084,1757,55.5,171,0.9,3.43,0.57,0.35,1.93,21.7,133.3,74.0,1.13,0,MODERATE
PT-0224,Nagaland,25.64464,94.42967,1743,23.4,36,0.89,3.04,0.35,0.58,2.17,102.3,142.2,81.2,1.77,0,LOW
PT-0225,Arunachal Pradesh,27.47103,91.93328,2125,50.91,161,0.89,2.0,0.27,0.3,3.17,3.0,92.6,62.5,0.85,1,HIGH
PT-0226,Meghalaya,25.20153,91.95012,1465,38.86,66,0.85,5.71,0.95,0.5,1.84,11.1,87.7,59.4,1.42,0,LOW
PT-0227,Arunachal Pradesh,27.88822,91.88724,2343,44.68,127,0.77,6.74,0.76,0.31,2.11,3.4,25.9,55.2,1.21,0,MODERATE
PT-0228,Tripura,24.1934,91.96564,2333,17.77,68,0.6,11.79,0.85,0.55,3.09,23.2,75.9,64.0,2.18,0,LOW
PT-0229,Meghalaya,24.76343,91.7863,2054,32.16,333,0.89,4.38,1.44,0.53,2.37,2.5,35.3,56.1,1.46,0,LOW
PT-0230,Sikkim,27.5577,88.50013,2571,35.11,242,0.92,2.58,1.54,0.38,1.93,36.7,154.5,81.0,1.35,0,LOW
PT-0231,Manipur,25.65678,93.5459,1958,37.27,58,0.95,4.72,1.38,0.48,2.83,21.1,103.7,64.4,1.12,0,MODERATE
PT-0232,Tripura,24.41243,92.07584,1741,20.56,6,0.66,11.93,1.85,0.61,1.33,35.8,170.2,78.5,2.73,0,LOW
PT-0233,Mizoram,23.8932,92.6581,2161,45.81,25,0.79,3.28,0.18,0.33,2.76,67.1,97.8,69.1,0.95,1,HIGH
PT-0234,Sikkim,26.74161,88.16607,2020,37.97,224,0.97,2.78,1.64,0.41,1.75,25.6,115.9,73.9,1.4,0,LOW
PT-0235,Tripura,24.27988,92.02862,1545,27.07,356,0.68,15.98,1.87,0.46,3.0,42.1,129.4,74.6,1.37,0,LOW
PT-0236,Arunachal Pradesh,27.71363,92.28509,1953,52.81,66,0.82,3.17,1.96,0.3,1.14,5.6,163.9,81.3,1.68,1,SEVERE
PT-0237,Assam (Dima Hasao),25.74347,93.21381,2387,30.19,358,0.88,5.42,1.63,0.5,2.46,11.7,163.1,84.8,1.29,0,LOW
PT-0238,Sikkim,26.74397,89.12125,2256,33.56,253,0.95,2.19,1.13,0.43,3.13,12.6,133.7,73.4,1.11,0,MODERATE
PT-0239,Assam (Dima Hasao),24.6646,92.94303,1958,32.11,255,0.85,4.32,1.14,0.51,1.23,40.7,55.7,53.2,2.16,0,LOW
PT-0240,Mizoram,24.18813,92.7848,1881,35.33,174,0.84,2.94,0.57,0.45,2.23,26.3,149.7,80.1,1.23,0,MODERATE
PT-0241,Nagaland,25.19692,94.18069,2169,46.02,324,0.98,3.36,1.2,0.4,1.1,7.6,140.9,78.2,1.77,0,LOW
PT-0242,Nagaland,25.38515,93.62511,2635,49.64,110,0.89,6.3,1.61,0.27,1.91,42.7,154.9,81.8,1.12,1,HIGH
PT-0243,Tripura,23.86887,91.95718,1686,10.0,2,0.64,6.12,2.06,0.72,2.06,127.0,171.2,83.4,3.0,0,LOW
PT-0244,Meghalaya,24.63426,92.54903,1869,30.81,196,0.81,5.55,1.55,0.45,1.88,17.4,165.2,77.7,1.54,0,LOW
PT-0245,Mizoram,24.13169,92.76737,2726,35.21,283,0.9,3.36,1.41,0.42,1.76,49.2,171.5,87.3,1.38,0,LOW
PT-0246,Arunachal Pradesh,27.83242,92.16293,2163,34.83,341,0.86,4.3,1.98,0.47,2.93,0.6,33.2,51.1,1.26,0,LOW
PT-0247,Sikkim,27.53431,88.23988,2062,42.01,146,0.92,2.4,0.23,0.45,1.45,22.2,111.9,70.8,1.52,0,LOW
PT-0248,Assam (Dima Hasao),25.4609,93.08352,2636,36.02,356,0.82,6.73,2.05,0.43,3.1,19.1,125.2,67.7,1.08,0,MODERATE
PT-0249,Mizoram,23.3637,93.15262,1908,45.19,115,0.95,5.85,1.46,0.41,2.2,39.9,214.0,90.0,1.01,1,SEVERE
PT-0250,Meghalaya,25.69014,91.84936,1926,47.89,61,0.81,4.6,1.27,0.29,2.28,20.1,152.2,75.0,1.02,0,MODERATE
PT-0251,Meghalaya,25.62435,92.47626,1574,37.56,338,0.79,7.1,1.26,0.37,2.56,157.3,258.2,98.0,0.97,1,SEVERE
PT-0252,Meghalaya,25.00912,92.40444,2195,40.44,109,0.86,4.21,0.72,0.49,2.36,41.2,180.3,86.2,1.04,1,SEVERE
PT-0253,Nagaland,25.88273,93.9248,1892,47.54,318,0.85,2.6,1.96,0.33,2.75,14.8,149.3,73.1,0.92,1,HIGH
PT-0254,Arunachal Pradesh,27.59717,91.86048,2364,37.73,333,0.76,3.3,2.09,0.38,3.1,0.4,26.2,52.5,1.13,0,MODERATE
PT-0255,Assam (Dima Hasao),25.60794,92.91905,2289,42.4,359,0.94,7.38,1.01,0.45,1.16,6.1,139.4,71.0,1.78,0,LOW
PT-0256,Nagaland,25.14512,94.34306,2001,29.84,116,0.98,3.81,1.05,0.49,1.7,6.3,22.3,52.1,1.9,0,LOW
PT-0257,Nagaland,25.98715,94.09273,2035,38.12,257,0.82,6.36,0.73,0.37,2.68,25.1,149.1,77.5,1.06,0,MODERATE
PT-0258,Assam (Dima Hasao),24.73366,92.87919,1604,37.77,324,0.79,6.83,2.02,0.48,2.6,149.3,255.6,98.0,0.96,1,SEVERE
PT-0259,Nagaland,25.13013,94.07726,2437,31.57,43,0.86,5.95,2.0,0.46,1.91,28.1,69.7,57.5,1.65,0,LOW
PT-0260,Mizoram,23.35319,92.32763,1548,44.5,281,0.86,4.79,0.71,0.31,1.22,26.9,96.5,62.5,1.72,0,LOW
PT-0261,Assam (Dima Hasao),24.69005,93.15342,1845,40.31,230,0.83,6.69,1.56,0.36,2.25,48.1,90.9,63.1,1.2,0,MODERATE
PT-0262,Assam (Dima Hasao),25.42464,93.17901,2350,33.82,347,0.91,9.26,1.07,0.45,1.67,9.7,124.8,75.9,1.56,0,LOW
PT-0263,Meghalaya,25.57956,91.99572,1571,34.91,38,0.91,7.94,1.43,0.51,2.27,14.6,35.6,50.4,1.43,0,LOW
PT-0264,Tripura,24.10469,91.42836,2171,13.67,301,0.68,6.86,1.08,0.64,1.87,54.3,209.2,94.1,2.97,0,LOW
PT-0265,Meghalaya,25.41865,91.92844,2440,41.23,289,0.86,11.78,1.65,0.4,1.79,33.4,58.8,56.6,1.4,0,LOW
PT-0266,Sikkim,27.5323,88.62146,1934,43.91,232,0.96,2.1,1.46,0.32,3.13,17.3,154.7,79.8,0.86,1,HIGH
PT-0267,Meghalaya,24.96199,92.21422,1668,22.34,39,0.83,4.38,2.01,0.57,1.78,26.9,121.4,72.8,2.17,0,LOW
PT-0268,Meghalaya,25.03788,92.03599,2034,29.94,76,0.77,4.32,1.61,0.44,1.51,37.4,131.9,73.8,1.85,0,LOW
PT-0269,Assam (Dima Hasao),25.27895,93.18671,2163,30.25,65,0.87,4.44,1.42,0.42,2.26,14.9,59.6,62.7,1.53,0,LOW
PT-0270,Sikkim,27.78421,88.87357,1504,49.88,110,0.87,14.33,1.92,0.28,2.83,40.8,191.2,83.9,0.84,1,SEVERE
PT-0271,Mizoram,23.32127,92.93271,1978,48.93,35,0.82,4.02,0.33,0.29,2.89,27.2,66.9,55.7,0.95,1,HIGH
PT-0272,Tripura,24.40193,91.96978,1410,32.64,60,0.55,8.69,1.99,0.48,1.0,35.5,121.7,71.0,2.33,0,LOW
PT-0273,Sikkim,27.56717,88.51475,2118,49.97,195,0.85,6.08,2.01,0.39,2.27,14.7,156.1,83.4,0.98,1,HIGH
PT-0274,Nagaland,25.41992,94.44212,2288,34.92,3,0.92,2.81,0.12,0.48,2.51,22.5,63.0,60.4,1.29,0,LOW
PT-0275,Mizoram,23.43356,92.75333,2009,30.52,348,0.85,3.37,1.26,0.5,1.39,33.1,211.2,92.2,1.77,0,LOW
PT-0276,Manipur,25.54294,94.446,1640,31.28,228,0.95,10.45,0.31,0.49,2.73,32.6,160.6,75.9,1.24,0,MODERATE
PT-0277,Manipur,25.81748,93.42635,2236,41.53,307,0.88,3.17,0.57,0.34,1.08,208.2,324.5,98.0,1.75,1,SEVERE
PT-0278,Sikkim,27.86486,88.98427,1979,36.87,103,0.95,8.68,1.19,0.39,2.72,59.9,176.4,85.5,1.02,1,SEVERE
PT-0279,Arunachal Pradesh,27.26711,91.25034,3331,57.97,204,0.79,2.76,1.33,0.27,2.62,4.7,66.6,62.9,0.93,1,HIGH
PT-0280,Arunachal Pradesh,27.39697,92.22862,3228,46.86,232,0.91,3.64,0.65,0.34,1.23,17.4,188.7,89.5,1.56,1,SEVERE
PT-0281,Mizoram,24.17134,93.08578,1955,29.71,193,0.88,6.47,1.69,0.58,2.01,44.2,63.7,55.2,1.71,0,LOW
PT-0282,Nagaland,25.53921,94.33639,2699,41.16,161,0.88,3.59,1.22,0.44,1.58,25.5,164.1,79.5,1.4,0,LOW
PT-0283,Meghalaya,25.08187,92.18425,1889,40.68,349,0.92,3.73,1.65,0.37,1.53,13.0,165.8,84.8,1.41,1,SEVERE
PT-0284,Arunachal Pradesh,27.16719,91.37803,2087,53.87,339,0.82,1.52,1.9,0.37,2.87,18.9,182.1,88.9,0.79,1,SEVERE
PT-0285,Mizoram,23.70897,93.29127,2057,45.26,113,0.92,3.14,1.2,0.36,3.07,21.3,178.3,87.0,0.82,1,SEVERE
PT-0286,Tripura,24.49181,92.08789,1842,14.89,6,0.66,7.19,0.31,0.6,2.9,15.2,74.7,66.0,2.63,0,LOW
PT-0287,Arunachal Pradesh,27.41911,91.84852,2867,46.86,190,0.79,2.78,1.05,0.37,3.15,41.6,175.5,86.7,0.79,1,SEVERE
PT-0288,Manipur,25.68757,93.65528,1584,41.8,242,0.95,3.49,1.15,0.48,2.87,63.7,208.3,88.8,0.89,1,SEVERE
PT-0289,Sikkim,27.20808,88.82865,2506,54.79,243,0.95,2.25,1.66,0.25,1.79,83.0,154.8,78.2,1.18,0,MODERATE
PT-0290,Arunachal Pradesh,28.02084,92.40574,2775,47.1,332,0.83,11.2,0.7,0.33,2.12,25.1,53.0,57.8,1.16,0,MODERATE
PT-0291,Tripura,24.07805,91.42382,2262,32.74,172,0.61,8.37,0.95,0.54,1.17,18.8,141.5,78.2,2.02,0,LOW
PT-0292,Manipur,24.9855,93.95388,1877,42.64,300,0.89,4.5,0.45,0.45,1.28,14.5,152.2,81.0,1.6,1,HIGH
PT-0293,Assam (Dima Hasao),24.77029,92.53361,2305,49.18,280,0.77,7.68,1.2,0.42,1.23,8.8,177.5,82.9,1.57,1,SEVERE
PT-0294,Assam (Dima Hasao),24.86688,92.75101,1892,32.21,87,0.77,6.72,1.91,0.45,2.05,29.3,89.2,64.1,1.51,0,LOW
PT-0295,Meghalaya,25.219,92.30785,1343,35.89,222,0.83,5.75,0.75,0.43,2.19,24.9,100.3,64.7,1.33,0,LOW
PT-0296,Mizoram,23.13267,92.73798,2010,40.21,146,0.86,2.82,2.04,0.49,2.05,28.1,91.4,62.4,1.28,0,LOW
PT-0297,Sikkim,27.38785,88.22629,2016,47.94,127,0.81,5.34,0.92,0.33,1.58,13.7,154.8,83.2,1.29,1,HIGH
PT-0298,Mizoram,23.46161,93.00151,1863,42.8,35,0.81,3.65,1.44,0.41,1.6,13.5,31.7,47.5,1.52,0,LOW
PT-0299,Sikkim,26.95313,88.12273,2820,40.57,4,0.83,2.41,1.14,0.39,1.69,49.9,141.4,79.0,1.35,0,LOW
PT-0300,Arunachal Pradesh,27.07627,92.15068,2558,47.59,200,0.73,3.09,0.5,0.41,2.8,10.5,152.2,76.0,0.89,1,HIGH
PT-0301,Tripura,23.61659,92.44344,2251,29.84,48,0.63,16.06,1.09,0.53,1.69,49.6,71.6,65.1,1.8,0,LOW
PT-0302,Nagaland,25.38398,94.15622,2859,43.96,341,0.84,2.8,1.43,0.36,1.37,6.4,151.6,73.4,1.53,0,LOW
PT-0303,Sikkim,27.42729,88.8289,2081,40.36,45,0.83,3.73,1.54,0.39,3.13,7.7,81.4,59.4,1.03,0,MODERATE
PT-0304,Nagaland,25.23099,93.66921,2094,52.13,177,0.96,3.94,0.51,0.35,1.79,114.5,209.6,90.5,1.13,1,SEVERE
PT-0305,Mizoram,23.77128,92.69811,2021,31.42,165,0.92,3.61,1.85,0.55,2.22,8.4,72.2,58.5,1.52,0,LOW
PT-0306,Arunachal Pradesh,27.52489,92.1811,2318,31.81,9,0.84,2.63,1.4,0.46,1.14,41.9,88.2,66.2,2.19,0,LOW
PT-0307,Meghalaya,25.24565,92.14712,1928,33.7,267,0.86,3.31,2.07,0.42,1.07,10.6,30.8,53.2,2.29,0,LOW
PT-0308,Manipur,25.44951,94.05099,1873,36.26,187,0.83,6.16,0.13,0.52,2.44,42.4,134.6,76.0,1.17,0,MODERATE
PT-0309,Arunachal Pradesh,27.64962,92.37589,2509,37.78,29,0.88,2.27,0.19,0.37,1.67,48.2,79.2,64.7,1.51,0,LOW
PT-0310,Manipur,24.88735,94.05143,2620,38.08,91,0.9,5.04,1.67,0.48,2.27,36.6,122.1,67.9,1.22,0,MODERATE
PT-0311,Meghalaya,25.16996,92.36563,1698,30.91,307,0.82,4.29,0.76,0.57,1.71,72.2,158.2,82.1,1.6,0,LOW
PT-0312,Assam (Dima Hasao),25.24577,92.66671,1229,36.69,130,0.83,5.51,2.12,0.36,1.08,0.8,38.1,57.3,2.12,0,LOW
PT-0313,Sikkim,27.0904,88.26626,2212,42.97,353,0.94,8.29,1.17,0.4,2.26,30.8,71.6,58.4,1.17,0,MODERATE
PT-0314,Assam (Dima Hasao),24.84959,93.38329,2218,41.35,111,0.91,7.21,1.77,0.35,2.82,30.9,195.7,89.0,0.9,1,SEVERE
PT-0315,Mizoram,23.16485,93.08001,2612,30.4,171,0.84,7.05,0.97,0.56,2.91,52.9,167.3,76.9,1.23,0,MODERATE
PT-0316,Manipur,24.72495,94.04926,2539,33.92,167,0.89,3.62,0.21,0.5,1.86,45.2,143.5,73.8,1.46,0,LOW
PT-0317,Mizoram,24.06364,92.28761,2540,35.61,25,0.88,3.56,0.94,0.44,2.54,26.6,74.3,60.3,1.26,0,LOW
PT-0318,Assam (Dima Hasao),25.2434,93.60649,1985,29.48,136,0.92,4.98,2.04,0.44,2.48,21.4,89.3,65.6,1.47,0,LOW
PT-0319,Sikkim,27.65362,88.20311,2796,33.84,226,0.9,3.45,2.04,0.43,2.51,65.2,94.4,68.2,1.27,0,LOW
PT-0320,Assam (Dima Hasao),25.70873,93.52208,1548,44.43,7,0.83,8.08,0.74,0.38,1.73,14.5,119.7,73.8,1.29,0,LOW
PT-0321,Tripura,24.06765,92.44076,1220,22.23,192,0.65,8.72,0.19,0.51,1.62,32.8,56.6,59.0,2.46,0,LOW
PT-0322,Sikkim,26.80992,88.79245,1609,33.39,184,0.95,2.05,1.92,0.5,1.51,187.8,219.2,91.4,1.57,0,LOW
PT-0323,Nagaland,25.3037,93.99078,2373,22.46,11,0.81,8.89,0.74,0.56,2.64,57.6,131.2,71.9,1.76,0,LOW
PT-0324,Mizoram,24.09427,92.86095,1691,51.41,15,0.96,10.25,0.57,0.3,1.86,65.4,166.3,83.4,1.13,1,SEVERE
PT-0325,Assam (Dima Hasao),25.0708,93.09748,2160,29.19,309,0.83,5.95,0.53,0.45,2.19,43.8,109.8,71.2,1.53,0,LOW
PT-0326,Meghalaya,25.02608,92.8508,1552,37.38,289,0.91,4.15,1.27,0.51,1.26,105.9,240.9,98.0,1.63,1,SEVERE
PT-0327,Manipur,25.81344,93.78402,1480,37.62,326,0.98,3.8,1.74,0.37,1.41,32.5,91.5,65.8,1.68,0,LOW
PT-0328,Assam (Dima Hasao),25.28563,92.68709,2048,38.01,244,0.79,8.68,1.08,0.46,1.4,32.1,74.1,58.6,1.72,0,LOW
PT-0329,Manipur,25.57745,93.43802,2488,37.04,343,0.98,6.54,0.24,0.51,3.17,27.0,95.6,65.6,1.06,0,MODERATE
PT-0330,Assam (Dima Hasao),25.08307,93.34146,1615,24.11,160,0.84,11.0,1.3,0.55,2.41,6.7,39.7,53.3,1.92,0,LOW
PT-0331,Sikkim,27.78334,88.29487,2033,21.07,20,0.89,3.81,1.42,0.5,1.64,18.2,169.8,82.0,2.29,0,LOW
PT-0332,Manipur,25.0133,94.52284,1426,32.02,237,0.96,4.5,1.62,0.42,2.71,36.3,73.6,60.3,1.34,0,LOW
PT-0333,Tripura,23.34989,91.79442,1259,38.7,232,0.55,6.98,1.46,0.46,1.36,9.1,140.6,77.3,1.63,0,LOW
PT-0334,Nagaland,25.70858,93.8509,1759,41.29,81,0.88,3.7,1.71,0.47,2.24,11.8,170.2,79.2,1.1,0,MODERATE
PT-0335,Sikkim,27.2335,88.37142,1892,42.95,320,0.82,7.72,2.12,0.31,2.68,34.4,131.7,77.0,0.97,1,HIGH
PT-0336,Tripura,23.60545,91.95663,1764,18.38,40,0.65,6.02,1.95,0.56,2.38,14.3,59.8,53.7,2.51,0,LOW
PT-0337,Arunachal Pradesh,27.02407,92.2746,1760,36.87,152,0.79,1.73,0.33,0.52,1.35,54.1,184.6,86.3,1.63,1,SEVERE
PT-0338,Meghalaya,25.66955,92.6592,2132,34.71,153,0.79,8.9,1.82,0.5,2.86,31.8,66.9,63.3,1.19,0,MODERATE
PT-0339,Arunachal Pradesh,27.61246,91.87958,1885,40.55,55,0.83,11.2,1.21,0.35,2.59,40.5,172.1,82.1,1.0,1,SEVERE
PT-0340,Arunachal Pradesh,27.29159,91.94017,1779,31.73,314,0.83,3.33,1.43,0.48,1.4,36.9,213.5,87.0,1.75,0,LOW
PT-0341,Sikkim,27.28786,88.95608,2032,41.6,315,0.98,3.34,0.8,0.41,2.4,11.2,72.7,63.9,1.13,0,MODERATE
PT-0342,Mizoram,23.48034,92.76999,2028,40.39,170,0.84,6.02,1.39,0.34,1.39,20.6,146.6,81.4,1.54,1,HIGH
PT-0343,Sikkim,27.50478,88.57779,1740,30.97,274,0.96,3.55,1.81,0.56,1.12,41.6,168.5,82.6,2.14,0,LOW
PT-0344,Sikkim,26.97991,88.82259,1572,46.81,181,0.79,2.4,1.87,0.33,1.83,9.1,124.0,69.2,1.23,0,MODERATE
PT-0345,Nagaland,26.11751,94.29185,1872,37.19,16,0.85,2.73,1.94,0.42,2.82,37.2,81.1,61.6,1.14,0,MODERATE
PT-0346,Sikkim,27.66335,89.09602,2297,40.42,247,0.96,2.42,0.81,0.41,2.92,19.8,161.8,76.6,0.97,1,SEVERE
PT-0347,Meghalaya,24.75622,91.80386,2514,24.59,59,0.73,9.93,1.54,0.56,1.19,2.4,103.3,69.3,2.6,0,LOW
PT-0348,Mizoram,23.14698,93.02019,2016,36.69,102,0.81,3.61,0.77,0.43,1.26,16.0,33.5,53.6,1.93,0,LOW
PT-0349,Nagaland,25.32789,93.81038,2340,37.27,145,0.91,2.97,0.75,0.5,2.19,1.5,165.5,76.9,1.21,0,MODERATE
PT-0350,Manipur,24.72456,93.93176,2555,42.36,303,0.92,5.93,1.04,0.37,1.73,71.0,219.5,89.1,1.24,1,SEVERE
PT-0351,Tripura,24.00135,91.3615,1196,29.75,49,0.62,8.88,1.59,0.5,1.51,98.7,215.5,96.5,1.67,0,LOW
PT-0352,Manipur,24.88002,94.52072,2738,30.8,166,0.88,3.08,1.1,0.47,2.01,73.0,187.7,82.6,1.44,0,LOW
PT-0353,Nagaland,25.56682,94.24713,2442,46.48,36,0.96,4.4,0.94,0.35,2.37,182.3,260.6,98.0,0.91,1,SEVERE
PT-0354,Manipur,25.60118,93.94242,1703,40.19,120,0.82,5.77,1.65,0.45,2.84,45.3,114.0,66.1,1.04,0,MODERATE
PT-0355,Tripura,23.53141,92.39706,1781,29.26,305,0.68,7.19,1.14,0.53,1.2,44.9,208.9,92.3,2.04,0,LOW
PT-0356,Sikkim,27.63849,88.79306,2354,36.04,315,0.9,2.54,1.53,0.42,2.25,18.7,189.3,86.0,1.17,1,SEVERE
PT-0357,Arunachal Pradesh,28.16835,91.94927,2070,37.15,65,0.89,1.66,1.99,0.52,1.0,192.4,225.5,92.4,2.01,1,SEVERE
PT-0358,Sikkim,27.01229,88.84267,2458,36.83,195,0.86,3.43,0.54,0.39,1.31,92.7,167.1,80.9,1.7,1,SEVERE
PT-0359,Mizoram,24.31695,92.91408,2300,41.92,8,0.8,8.2,1.48,0.48,1.3,82.0,238.9,98.0,1.5,1,SEVERE
PT-0360,Manipur,25.4079,93.96527,2427,25.66,196,0.86,3.51,1.37,0.55,2.86,34.8,117.6,71.3,1.5,0,LOW
PT-0361,Arunachal Pradesh,27.02015,91.29544,2375,36.85,297,0.82,4.43,0.4,0.48,3.16,40.0,131.7,69.8,1.04,0,MODERATE
PT-0362,Nagaland,25.37428,94.1468,1719,33.25,350,0.93,6.5,0.76,0.4,1.76,26.1,125.7,72.3,1.55,0,LOW
PT-0363,Arunachal Pradesh,27.48522,92.4027,2063,45.85,18,0.86,3.78,0.74,0.41,1.57,31.0,140.5,77.5,1.34,0,LOW
PT-0364,Mizoram,24.09067,92.85918,2341,39.29,258,0.79,6.63,0.63,0.44,1.61,67.6,182.2,89.2,1.36,1,SEVERE
PT-0365,Meghalaya,25.30099,92.20372,2605,41.92,120,0.83,7.22,1.91,0.38,1.19,135.9,176.3,83.7,1.69,1,SEVERE
PT-0366,Manipur,25.58444,93.70554,2313,28.06,107,0.91,7.61,0.21,0.48,2.8,31.2,124.8,72.2,1.39,0,LOW
PT-0367,Assam (Dima Hasao),25.02576,93.25673,2056,30.85,222,0.76,10.55,1.04,0.52,3.12,6.8,173.2,84.5,1.11,0,MODERATE
